product_id,domain,category,subcategory,title,display_name,capacity_range,short_description,product_info,technical_details,applications,model_count,spec_status,source_type,source_url
PROD-001,i-power,Inverter Solutions,Power Inverter Series,"T-7401 TL 1-1, Without battery (1.2-2.4K)","T-7401 TL 1-1, Without battery (1.2-2.4K)",1.2-2.4KVA,"T-7401 TL 1-1, Without battery (1.2-2.4K) is a Power Inverter Series product in the Inverter Solutions category from Interconnect Solutions' i-power line, spanning 1.2-2.4KVA.",,"Humidity: < 95%Non-Condensing | Protections: Overload, Short-Circuit, Over Temp., Over/ Low Voltage, BAT VoLtage High/Low | Display: LCD+LED Indicators;AC Mode Green Light;BAT Mode Yellow light | Input Voltage Range: 162-290Vac | Output Voltage: 220Vac ±1% (BAT Mode) ; 220Vac±10%( AC Mode ） | Output Waveform: Modified Sine Wave（BAT Mode） | Charging Current: 10-20A Selectable Low Voltage (BAT Mode) beeps once every 2 seconds; Overload Beeps twice every 1 second;Fault Continuous Beeping | Net Weight Kg: 2.6 | 2.8 | Overall Efficiency: > 95% | Output Frequency: 50±1Hz | Transfer Time: >12ms | Frequency: 50Hz | Working Temperature: 0-40℃ | Storage Temperature: -25 ~ 60℃ （Without BATs） | Power: 720W | 1440W | Design Structure: Tower Or Rackmounted | Safety Standards: CB7260.2/EN50091-2 CLass A | Nominal Voltage: 220/230/240 Vac | Efficiency（DC To AC）: >80% | Battery VDC: 12 Vdc | 24 Vdc | Nominal Charge Voltage: 13.7 Vdc | 27.4 Vdc | Size Mm( W×D×H ): 288×272×90",,2,verified,website,https://i-sol.co.uk/power-inverter-series-t-7401-1-in-1-out-power-inverter-without-battery-12-24-kva
PROD-002,i-power,Inverter Solutions,Long Back-up Inverters,T-7000 (1-12kW),T-7000 (1-12kW),1-12KVA,"T-7000 (1-12kW) is a Long Back-up Inverters product in the Inverter Solutions category from Interconnect Solutions' i-power line, spanning 1-12KVA.",,"Protections: Overload, Over Temp, Over Voltage | Input Voltage Range: 192-243Vac/164-243Vac For 1-6kW, 154-273Vac For 8-12kW | Input Frequency Range: 50Hz/60Hz (Auto-Tracking) | Output Voltage: 100Vac/120Vac/220Vac/230Vac/240Vac Single Phase(Sync To Input On AC Mode) | Output Waveform: Pure Sine Wave | Crest Ratio: 3:1 | Overall Efficiency: Line Mode >95% | Input Voltage: 100/120/220/230/240Vac | Net Weight (Kg): 1kW:14, 2kW:19, 3kW:23, 4kW:35, 5kW:44, 6kw:44, 8kW:56, 10kW:64, 12kW:68 | Output Frequency: 50/60Hz (Auto-Tracking) | Communication Port: RJ11/RS232 (Optional) | Battery Voltage: 1-2kW: 12Vdc/24Vdc, 3-4kW: 12Vdc/24Vdc/48Vdc, 5-6kW: 24Vdc/48Vdc, 8-12kW: 48Vdc | Capacity (W): 1kW, 2kW, 3kW, 4kW, 5kW, 6kW, 8kW, 10kW, 12kW | Phase & Waveform: Single Phase & Sinewave | Power Factor: 0.9 | Max Charging Current: 1-8kW: 20-75A, 10kW: 20-85A, 12kW: 20-100A | Noise (In 2 Meters) DB: <60 | Working Temperature( ⁰C): 0-40 | LED Display: Line Mode, Inverter Mode, Charging Mode, Fully Charged, Over Heat Shutdown, Overloaded Shutdown, Saving Mode | Large LCD: Charging Mode, Inverter Mode, Alarm | Switch Selector: Saving Mode Is On/Off When Push The Switch Forwards/Backwards,Keeping Horizontal Is Turning Inverter Off | Audible Alarm: Alarm Is Triggered When The Heat Sink Temperature Is Over 105℃,With Shutdown After 30 Seconds | Size (RM D*W*H) Mm: 1-3kW: 218*179*442, 4-6kW: 218*179*598, 8kW: 549*450*201, 10-12kW: 584*450*201",,0,range_only,website,https://i-sol.co.uk/long-back-up-inverters-t-7000-1-12kw
PROD-003,i-power,Inverter Solutions,Long Back-up Inverters,T-7002 (1.2W and 2.4W),T-7002 (1.2W and 2.4W),,T-7002 (1.2W and 2.4W) is a Long Back-up Inverters product in the Inverter Solutions category from Interconnect Solutions' i-power line.,,"Protections: Overload, Short-Circuit, Over Temp., Over/ Low Voltage, BAT Voltage High/Low | Display: LCD+LED Indicators：AC Mode Green Light；BAT Mode Yellow Light | Alarm: Low Voltage (BAT Mode) Beeps Once Every 2 Seconds；Overload Beeps Twice Ever Y 1 Second；Fault Continuous | Input Voltage Range: 162-290Vac | Input Frequency Range: 50Hz | Output Voltage: （BAT Mode） ;220Vac±10%(AC Mode)(Sync To Input On AC Mode) | Output Waveform: Modified Sine Wave（BAT Mode） | Overall Efficiency: >95% | Net Weight (Kg): 2.6 | 2.8 | Transfer Time: >12ms | Design Structure: Tower Or Rackmounted | Nominal Voltage: 220/230/240Vdc | Capacity (W): 720 | 1440 | Working Temperature( ⁰C): 0-40 | Order-Code: 907-100 | 907-101 | Efficiency (DC To DC): >80% | Battery Type (Vdc): 12 | 24 | Nominal Voltage (2): 13.7 | 27.4 | Solar Charger Input (Vdc): 9-40 | 18-80 | Solar Charger Current: 30-50 Adjustable | Size (W*D*H): 288*272*90",,0,range_only,website,https://i-sol.co.uk/long-back-up-inverters-t-7002-12w-and-24w
PROD-004,i-power,Inverter Solutions,Solar Hybrid Inverters,T-7001 (1-6kW),T-7001 (1-6kW),1-6KVA,"T-7001 (1-6kW) is a Solar Hybrid Inverters product in the Inverter Solutions category from Interconnect Solutions' i-power line, spanning 1-6KVA.",,"Protections: Overload, Over Temp, Over Voltage | Input Voltage Range: 95-127Vac/194-253Vac | Input Frequency Range: 48-54Hz/58-64Hz | Output Voltage: 100vac/120vac/220vac/230vac Single Phase (AC Mode Is Tracking Line Power) (Sync To Input On AC Mode) | Output Waveform: Pure Sine Wave | Overall Efficiency: MPPT Efficiency >95% | Input Voltage: 100/120/220/240Vac | Net Weight (Kg): 16 | 19 | 20 | 24 | 28 | 39 | 49 | 49 | Output Frequency: 50/60Hz (Auto Tracking) | Communication Port: RJ11/RS232(Optional) | Transfer Time: 10ms | Battery Voltage: 12Vdc/24Vdc | 12Vdc/24Vdc/48Vdc | 24Vdc/48Vdc | Design Structure: BAT/AC Mode Selectable | Capacity (W): 500 | 1000 | 1500 | 2000 | 3000 | 4000 | 5000 | 6000 | Phase & Waveform: Single Phase & Sinewave | Max Charging Current: 20A-75A | Working Temperature( ⁰C): 0-40 | Order-Code: 907-092 | 907-093 | 907-094 | 907-095 | 907-096 | 907-097 | 907-098 | 907-099 | Input Frequency: 50Hz/60Hz (Auto-Tracking) | Phase & Waveform (2): Pure Sine Wave | Output Frequency Range: 46-54Hz | Peak Power Ratio: 3:1 | DC Input Voltage: 10-16V/20-32V/40-64V | Over Charging: 15.7V/31.4V/62.8V | Battery Type: GEL, AGM Sealed Lead Acid | PV Input Voltage: 15-30Vdc/30-55Vdc | Maximum Charging Current: 20A/30A/40A/50A | MAX.Output Current (DC Loads): 15A | Size (RM D*W*H): 486*400*181 | 486×432×1181 | External Structure: Output Isolated Transformer Design，Wall Mounted | Large LCD Display: Input Voltage, Output Voltage/Frequeneny, Battery Voltage,Load | Working Mode: AC Power Priority (1-6)/Battery Power Priority(7-9)",,0,range_only,website,https://i-sol.co.uk/solar-hybrid-inverters-t-7001-1-6kw
PROD-005,i-power,Inverter Solutions,Inverter Solutions,"T-7101 TB 1-1, Without battery (1-10K)","T-7101 TB 1-1, Without battery (1-10K)",1-5KVA,"T-7101 TB 1-1, Without battery (1-10K) is a Inverter Solutions product in the Inverter Solutions category from Interconnect Solutions' i-power line, spanning 1-5KVA.",,"Humidity: ＜95%，without condensation | Generator Compatibility: Available (Auto-Start Accessories) | Display: LCD display: AC Voltage，AC Frequency，Output Voltage，Output Frequency， PV Volts, PV Current, Battery Voltage，Load Information, etc. | Alarm: BAT Low, Overload, Fault | Input Voltage Range: ""220V: 154-264Vac±3V (Inverter Mode) ; 185-264VAC±3V（ UPS Mode) | Output Waveform: Pure Sine Wave | Crest Ratio: 3:1 | Input Voltage: 220VAC | Protection: Overload/over-current/short circuit/over temperature | Transfer Time: <=10ms | Output Voltage (AC Mode): Tracking and Following AC utility Input Power Range | Battery Voltage: 12Vdc | 12Vdc | 24Vdc/12Vdc | 24Vdc | 24Vdc/48Vdc | Working Temperature: -10°C - 40°C | Input Frequency: 50/60Hz±5% | Battery Type: LEAD，SLA, OP-LE | Model (Tower): IL1001T80100I | IL11X5T80200I | IL1002T80200IIL1002T80100I | IL1003T80200I | IL1005T80200I | Model (Wall Mountable): IL1001W80100I | IL11X5W80200I | IL1002W80200IIL1002W80100I | IL1003W80200I | IL1005W80200I | Output Power: 800W | 1200W | 1600W | 2400W | 4000W | Output Frequency (AC Mode): Tracking and Following AC utility Input Power Range | Output Voltage (DC Mode): 220VAC±10% or (110VAC±10%) | Output Frequency (DC Mode): 50HZ or 60HZ±1% | Charging current (Max): 20A | 25A | 25A | 30A | 30A | Storage Temperature/td>: <=55db | Noise: <=55db | Net Weight in Kg (Tower): 11.3 | 13 | 14.6 | 17.2C | 21.3 | Dimensions in mm (LxWxH): 385x190x682 | Net Weight in Kg (Wall Mount): 12 | 15 | 16 | 21 | 25 | Dimensions in mm (LxWxH) (2): 434x335x201",,5,verified,website,https://i-sol.co.uk/t-7101-tb-1-1-without-battery-1-10k
PROD-006,i-power,Inverter Solutions,Inverter Solutions,"T-7201 TB 1-1, Without battery (1-10K)","T-7201 TB 1-1, Without battery (1-10K)",1-5KVA,"T-7201 TB 1-1, Without battery (1-10K) is a Inverter Solutions product in the Inverter Solutions category from Interconnect Solutions' i-power line, spanning 1-5KVA.",,"Humidity: ＜95%，without condensation | Generator Compatibility: Available (Auto-Start Accessories) | Display: LCD display: AC Voltage，AC Frequency，Output Voltage，Output Frequency， PV Volts, PV Current, Battery Voltage，Load Information, etc. | Alarm: Auto | Mute: BAT Low, Overload, Fault | Input Voltage Range: ""220V: 154-264Vac±3V (Inverter Mode) ; 185-264VAC±3V（ UPS Mode) | Output Waveform: Pure Sine Wave | Crest Ratio: 3:1 | Input Voltage: 220VAC | Protection: Overload/over-current/short circuit/over temperature | Output Voltage (AC Mode): Tracking and Following AC utility Input Power Range | Battery Voltage: 12Vdc | 12Vdc | 24Vdc/12Vdc | 24Vdc | 24Vdc/48Vdc | Working Temperature: -10°C - 40°C | Input Frequency: 50/60Hz±5% | Battery Type: LEAD，SLA, OP-LE | Model (Tower): IL1001T80100M | IL11X5T80200M | IL1002T80200MIL1002T80100M | IL1003T80200M | IL1005T80200MIL1005T80400M | Model (Wall Mountable): L1001W80100M | IL11X5W80200M | IL1002W80200MIL1002W80100M | IL1003W80200M | IL1005W80200MIL1005W80400M | Output Power: 800W | 1200W | 1600W | 2400W | 4000W | Output Frequency (AC Mode): Tracking and Following AC utility Input Power Range | Output Voltage (DC Mode): 220VAC±10% or (110VAC±10%) | Output Frequency (DC Mode): 50HZ or 60HZ±1% | Charging current (Max): 20A | 25A | 25A | 30A | 30A | Storage Temperature/td>: <=55db | Noise: <=55db | Net Weight in Kg (Tower): 11.3 | 13 | 14.6 | 17.2C | 21.3 | Dimensions in mm (LxWxH): 552x190x382 | Net Weight in Kg (Wall Mount): 12 | 15 | 16 | 21 | 25 | Dimensions in mm (LxWxH) (2): 470x335x210 | Solar Charge Maximum PV Display open circuit voltage: 38VDC | 38VDC | 75VDC | 75VDC | 75VDC/150VDC | MPPT Solar Input Voltage Range: 15-33 VDC | 15-33 VDC | 30-66 VDC | 30-66 VDC | 30-66VDC/60-150VDC",,5,verified,website,https://i-sol.co.uk/t-7201-tb-1-1-without-battery-1-10k
PROD-007,i-power,Inverter Solutions,Inverter Solutions,"T-7501 TL 1-1, Without battery (1.2-2.4K)","T-7501 TL 1-1, Without battery (1.2-2.4K)",1.2-2.4KVA,"T-7501 TL 1-1, Without battery (1.2-2.4K) is a Inverter Solutions product in the Inverter Solutions category from Interconnect Solutions' i-power line, spanning 1.2-2.4KVA.",,"Humidity: < 95%Non-Condensing | Protections: Overload, Short-Circuit, Over Temp., Over/ Low Voltage, BAT VoLtage High/Low | Display: LCD+LED Indicators;AC Mode Green Light;BAT Mode Yellow light | Alarm: Low Voltage (BAT Mode) beeps once every 2 seconds; Overload Beeps twice every 1 second;Fault Continuous Beeping | Input Voltage Range: 162-290Vac | Output Voltage: 220Vac ±1% (BAT Mode) ; 220Vac±10%( AC Mode ） | Output Waveform: Modified Sine Wave（BAT Mode） | Net Weight Kg: 2.9 | 3.1 | Overall Efficiency: > 95% | Output Frequency: 50±1Hz | Transfer Time: >12ms | Frequency: 50Hz | Working Temperature: 0-40℃ | Storage Temperature: -25°C to 60°C (Without Batteries) | Power: 1200VA/720W | 2400VA/1440W | Design Structure: Tower Or Rackmounted | Safety Standards: CB7260.2/EN50091-2 CLass A | Nominal Voltage: 220/230/240 Vac | Efficiency（DC To AC）: >80% | Battery VDC: 12 Vdc | Nominal Charge Voltage: 13.7 Vdc | 27.4 Vdc | Size Mm( W×D×H ): 288×272×90 | Solar Charger Current: 30-50A Adjustable | Solar Charger Input: 9 - 40 Vdc | Solar Structure: PWM | Solar Charge Input: 9-40 Vdc",,2,verified,website,https://i-sol.co.uk/t-7501-tl-1-1-without-battery-12-24k
PROD-008,i-power,Inverter Solutions,Inverter Solutions,"T-7601 (0.5-10K) , Telecom Inverter (48VDC-220AC)","T-7601 (0.5-10K) , Telecom Inverter (48VDC-220AC)",0.5-4KVA,"T-7601 (0.5-10K) , Telecom Inverter (48VDC-220AC) is a Inverter Solutions product in the Inverter Solutions category from Interconnect Solutions' i-power line, spanning 0.5-4KVA.",,Humidity: 0~90%，Non-condensate | Overload: >=100%~125%，10; 125%~150%，15; 150%，Immediately shut off | THD: <=3%（linear load） | Backfill noise current: <=10% | Bypass voltage range（Vac）: 220±20% | Rated Input current （A）: 1.8 | 3.6 | 7.2 | 10.8/td> | 14.5 | Bypass switching time（ms）: <=5ms | Rated output （W）: 400 | 800 | 1600 | 2400/td> | 3200 | Output voltage & frequency: 220Vac，50Hz | Output voltage accuracy(V): 220±3% | Precision of output freq. (Hz): 50±0.1% | Dynamic response: 5% (load 25%←→100%） | Power factor （PF）: 0.8 | Inverter efficiency: >=85%（80% Resistive load） | Noise（1 Meter）: <=65dB | Environment temperature: -25℃~+50℃ | Max Altitude（m）: <=1000 | Rated input Vdc: 48 VDC | Input voltage range (Vdc): Working voltage 40V—58.8VBoot voltage 42V--57V | Rated Input Current A: 9.8 | 19 | 38 | 57 | 77,,5,verified,website,https://i-sol.co.uk/t-7601-48vdc-220ac-telecom-inverter-05-10k
PROD-009,i-power,Automatic Voltage Regulators,AVR-1000 (Servo Control),Single Phase (10-100kVA),AVR-1000 Single Phase (10-100kVA),10-100KVA,"AVR-1000 Single Phase (10-100kVA) is a AVR-1000 (Servo Control) product in the Automatic Voltage Regulators category from Interconnect Solutions' i-power line, spanning 10-100KVA.",,"Output Voltage: Single Phase 220V±1-5%, | Efficiency: >97% On Full Load | Input Voltage: Single Phase 220V±20% | Supply Frequency: 50/60Hz | Insulation Resistance: ≥2MΩ | Waveform Distortion: Nil | Insulation Class: H Class | Method Of Voltage Regulation: Regulation Transformer With Servomotor | Insulated Strength: Single Phase: 2000V/1min Without Puncture | Overload Rating: Withstand 200% Overload In Short Time | Size (D*W*H): 300×720×1270 | 300×800×1370",,6,verified,website,https://i-sol.co.uk/avr-1000-servo-control-single-phase-10-100kva
PROD-010,i-power,Automatic Voltage Regulators,AVR-1000 (Servo Control),Three Phase (10-3000kVA),AVR-1000 Three Phase (10-3000kVA),10-3000KVA,"AVR-1000 Three Phase (10-3000kVA) is a AVR-1000 (Servo Control) product in the Automatic Voltage Regulators category from Interconnect Solutions' i-power line, spanning 10-3000KVA.",,Output Voltage: Three Phase: 380V±1-5% | Efficiency: >97% On Full Load | Input Voltage: Three Phase: 380V±20% | Supply Frequency: 50/60Hz | Insulation Resistance: ≥2MΩ | Waveform Distortion: Nil | Insulation Class: H Class | Method Of Voltage Regulation: Regulation Transformer With Servomotor | Insulated Strength: Single Phase: 2000V/1min Without Puncture | Overload Rating: Withstand 200% Overload In Short Time | Size (D*W*H): Customized As Per The AVR Rating | Voltage Regulation Mode: Independent Phase Regulation,,2,verified,website,https://i-sol.co.uk/avr-1000-servo-control-three-phase-10-3000kva
